TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1506369476,North Station,493,Littleton / Rte 495,1506369540,0,3,All Aboard
1506369476,North Station,327,Lowell,1506370500,0,,On Time
1506369476,North Station,115,Rockport,1506370500,0,,On Time
1506369476,North Station,213,Haverhill,1506371400,0,,On Time
1506369476,North Station,167,Newburyport,1506371400,0,,On Time
1506369476,North Station,417,Wachusett,1506371400,0,,On Time
1506369476,North Station,193,Beverly,1506372000,0,,On Time
1506369476,North Station,329,Lowell,1506372300,0,,On Time
1506369476,North Station,293,Reading,1506372480,0,,On Time
1506369476,North Station,419,Wachusett,1506373200,0,,On Time
1506369476,North Station,117,Rockport,1506373200,0,,On Time
1506369476,North Station,331,Lowell,1506373800,0,,On Time
1506369476,North Station,169,Newburyport,1506374100,0,,On Time
1506369476,North Station,215,Haverhill,1506374100,0,,On Time
1506369476,North Station,119,Rockport,1506375000,0,,On Time
1506369476,North Station,217,Haverhill,1506375300,0,,On Time
1506369476,North Station,333,Lowell,1506375300,0,,On Time
1506369476,North Station,421,Wachusett,1506375300,0,,On Time
1506369476,North Station,171,Newburyport,1506375600,0,,On Time
1506369476,North Station,335,Lowell,1506376200,0,,On Time
1506369476,North Station,423,Wachusett,1506376500,0,,On Time
1506369476,South Station,81,Greenbush,1506369720,0,12,Now Boarding
1506369476,South Station,615,Needham Heights,1506369900,0,6,Now Boarding
1506369476,South Station,743,Norwood Central,1506370500,0,,On Time
1506369476,South Station,773,Readville,1506370500,0,,On Time
1506369476,South Station,519,Worcester / Union Station,1506370800,0,,On Time
1506369476,South Station,43,Kingston,1506370800,0,,On Time
1506369476,South Station,915,Stoughton,1506370800,0,,On Time
1506369476,South Station,591,Framingham,1506371400,0,,On Time
1506369476,South Station,821,Wickford Junction,1506371400,0,,On Time
1506369476,South Station,19,Middleboro/Lakeville,1506372000,0,,On Time
1506369476,South Station,717,Forge Park / 495,1506372180,0,,On Time
1506369476,South Station,617,Needham Heights,1506372420,0,,On Time
1506369476,South Station,83,Greenbush,1506372720,0,,On Time
1506369476,South Station,823,Providence,1506372900,0,,On Time
1506369476,South Station,45,Kingston,1506373200,0,,On Time
1506369476,South Station,775,Readville,1506373200,0,,On Time
1506369476,South Station,521,Worcester / Union Station,1506373200,0,,On Time
1506369476,South Station,745,Walpole,1506373320,0,,On Time
1506369476,South Station,593,Framingham,1506373800,0,,On Time
1506369476,South Station,917,Stoughton,1506373920,0,,On Time
1506369476,South Station,21,Middleboro/Lakeville,1506373920,0,,On Time
1506369476,South Station,85,Greenbush,1506374400,0,,On Time
1506369476,South Station,719,Forge Park / 495,1506374400,0,,On Time
1506369476,South Station,619,Needham Heights,1506374760,0,,On Time
1506369476,South Station,47,Kingston,1506375480,0,,On Time
1506369476,South Station,523,Worcester / Union Station,1506375600,0,,On Time
1506369476,South Station,825,Wickford Junction,1506375600,0,,On Time
1506369476,South Station,721,Forge Park / 495,1506375900,0,,On Time
1506369476,South Station,777,Readville,1506375900,0,,On Time
1506369476,South Station,87,Greenbush,1506375900,0,,On Time
1506369476,South Station,919,Stoughton,1506376200,0,,On Time
1506369476,South Station,595,Framingham,1506376200,0,,On Time
1506369476,South Station,23,Middleboro/Lakeville,1506376620,0,,On Time
1506369476,South Station,621,Needham Heights,1506376680,0,,On Time
